[2024-07-14 01:05:13,050: INFO: main: Welcome aboard the kidney app]
[2024-08-06 21:03:44,741: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 21:04:47,588: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 21:04:47,595: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-06 21:04:47,598: INFO: common: created directory at: artifacts]
[2024-08-06 21:04:47,600: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-06 21:04:47,603: INFO: 149356000: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-06 21:05:19,124: INFO: 149356000: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-06 21:05:20,288: INFO: 149356000: Extracted zip file into: artifacts/data_ingestion]
[2024-08-06 21:29:46,961: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 21:29:46,968: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-06 21:29:46,970: INFO: common: created directory at: artifacts]
[2024-08-06 21:29:46,972: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-06 21:29:46,974: INFO: 149356000: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-06 21:30:17,798: INFO: 149356000: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-06 21:30:18,683: INFO: 149356000: Extracted zip file into: artifacts/data_ingestion]
[2024-08-06 21:50:57,107: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 21:50:57,112: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-06 21:50:57,115: INFO: common: created directory at: artifacts]
[2024-08-06 21:50:57,118: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-06 22:03:40,414: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 22:03:40,420: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-06 22:03:40,423: INFO: common: created directory at: artifacts]
[2024-08-06 22:03:40,425: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-06 22:04:47,681: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 22:04:47,686: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-06 22:04:47,688: INFO: common: created directory at: artifacts]
[2024-08-06 22:04:47,689: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-06 22:04:48,862: INFO: 2449113567: >>>>>> Data Ingestion Stage started <<<<<<]
[2024-08-06 22:04:48,867: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 22:04:48,873: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-06 22:04:48,875: INFO: common: created directory at: artifacts]
[2024-08-06 22:04:48,877: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-06 22:04:48,879: INFO: 2449113567: >>>>>> Data Ingestion Stage completed <<<<<<<

x========================x]
[2024-08-06 22:29:29,509: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-06 22:29:29,513: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-06 22:29:29,514: INFO: common: created directory at: artifacts]
[2024-08-06 22:29:29,514: INFO: common: created directory at: artifacts/data_ingestion]
